C0 (78 genes)	C1 (12 genes)	C2 (16 genes)	C3 (12 genes)	C4 (19 genes)
Objects	Objects	Objects	Objects	Objects
O117	O19	O269	O03	O100
O129	O208	O322	O07	O106
O130	O221	O333	O08	O113
O142	O41	O340	O21	O188
O147	O43	O347	O24	O207
O150	O44	O353	O25	O319
O152	O49	O426	O27	O330
O157	O51	O586	O29	O399
O158	O52	O664	O31	O534
O178	O53	O730	O32	O572
O187	O841	O806	O412	O587
O210	O99	O835	O954	O59
O239		O885		O600
O253		O889		O743
O260		O933		O851
O270		O95		O852
O290				O869
O314				O922
O341				O991
O356				
O357				
O368				
O371				
O377				
O38				
O397				
O403				
O413				
O473				
O480				
O497				
O515				
O519				
O533				
O535				
O540				
O552				
O553				
O567				
O591				
O610				
O619				
O626				
O633				
O64				
O643				
O661				
O663				
O672				
O693				
O709				
O715				
O718				
O723				
O727				
O729				
O744				
O756				
O769				
O771				
O789				
O792				
O797				
O819				
O822				
O847				
O855				
O858				
O859				
O897				
O903				
O953				
O974				
O982				
O984				
O986				
O993				
O998				
